<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.07.13	20:15:00	3998.66	4000.25	3996.90	3999.86	1703	0	28
2026.07.13	20:30:00	3999.86	4000.41	3997.34	4000.07	1529	0	28
2026.07.13	20:45:00	3999.86	4002.08	3998.06	4000.94	1811	0	28
2026.07.13	22:00:00	4001.59	4004.39	4001.42	4003.98	697	0	28
2026.07.13	22:15:00	4003.98	4005.84	4003.68	4004.42	1273	0	28
2026.07.13	22:30:00	4004.42	4005.57	4002.90	4003.87	1584	0	28
2026.07.13	22:45:00	4003.86	4005.09	4000.82	4000.88	1926	0	28
2026.07.13	23:00:00	4000.94	4003.12	3999.57	4000.24	2035	0	15
2026.07.13	23:15:00	4000.24	4000.62	3996.86	3997.36	1828	0	15
2026.07.13	23:30:00	3997.36	3997.36	3993.50	3995.36	2456	0	15
2026.07.13	23:45:00	3995.36	4001.95	3992.66	4001.04	3428	0	15
2026.07.14	00:00:00	4001.49	4004.88	3985.63	3995.54	6107	0	15
2026.07.14	00:15:00	3995.55	3997.11	3985.81	3995.46	5571	0	15
2026.07.14	00:30:00	3995.46	4007.11	3994.40	4002.86	5270	0	15
2026.07.14	00:45:00	4002.91	4007.18	4000.56	4004.30	4878	0	15
2026.07.14	01:00:00	4004.30	4004.49	3992.36	3995.36	5962	0	15
2026.07.14	01:15:00	3995.39	4004.86	3995.17	3997.81	4549	0	15
2026.07.14	01:30:00	3997.83	4004.18	3992.94	4002.15	4865	0	15
2026.07.14	01:45:00	4002.15	4012.26	3998.67	4010.59	4684	0	15
2026.07.14	02:00:00	4010.49	4017.94	4006.08	4016.79	4349	0	15
2026.07.14	02:15:00	4016.80	4019.18	4013.64	4017.97	3419	0	15
2026.07.14	02:30:00	4017.97	4019.09	4010.70	4011.01	3536	0	15
2026.07.14	02:45:00	4011.01	4014.01	4009.14	4012.39	3353	0	15
2026.07.14	03:00:00	4012.39	4016.75	4012.24	4014.22	3418	0	15
2026.07.14	03:15:00	4014.22	4018.91	4011.40	4017.93	3380	0	15
2026.07.14	03:30:00	4017.97	4019.11	4013.99	4015.27	3093	0	15
2026.07.14	03:45:00	4015.29	4018.10	4014.71	4017.01	2340	0	15
2026.07.14	04:00:00	4017.01	4018.92	4013.54	4015.78	2553	0	15
2026.07.14	04:15:00	4015.78	4017.47	4014.07	4015.72	2122	0	15
2026.07.14	04:30:00	4015.72	4023.50	4015.72	4020.61	2344	0	15
2026.07.14	04:45:00	4020.61	4021.40	4015.97	4020.28	2270	0	15
2026.07.14	05:00:00	4020.28	4023.95	4019.60	4023.17	2138	0	15
2026.07.14	05:15:00	4023.17	4024.10	4020.05	4022.74	2158	0	15
2026.07.14	05:30:00	4022.90	4034.09	4022.67	4032.23	3914	0	15
2026.07.14	05:45:00	4032.20	4032.69	4029.17	4031.49	3164	0	15
2026.07.14	06:00:00	4031.52	4033.11	4028.79	4030.92	3455	0	15
2026.07.14	06:15:00	4030.92	4031.08	4023.05	4023.12	2779	0	15
2026.07.14	06:30:00	4023.12	4026.36	4021.77	4025.29	2770	0	15
2026.07.14	06:45:00	4025.29	4026.58	4023.02	4024.04	2593	0	15
2026.07.14	07:00:00	4024.07	4029.01	4020.86	4024.90	3062	0	15
2026.07.14	07:15:00	4024.90	4029.84	4024.49	4026.32	2722	0	15
2026.07.14	07:30:00	4026.32	4029.68	4023.03	4023.72	3170	0	15
2026.07.14	07:45:00	4023.78	4026.16	4019.84	4020.73	3508	0	15
2026.07.14	08:00:00	4020.89	4022.49	4014.28	4017.30	4027	0	15
2026.07.14	08:15:00	4017.34	4023.17	4017.33	4021.82	3061	0	15
2026.07.14	08:30:00	4021.82	4023.83	4018.81	4019.30	2970	0	15
2026.07.14	08:45:00	4019.29	4020.89	4015.95	4015.97	2888	0	15
2026.07.14	09:00:00	4015.99	4024.48	4013.94	4020.68	2907	0	15
2026.07.14	09:15:00	4020.69	4021.89	4015.13	4015.86	3043	0	15
2026.07.14	09:30:00	4015.83	4018.13	4013.73	4017.16	2793	0	15
2026.07.14	09:45:00	4017.12	4023.82	4016.38	4021.82	2941	0	15
2026.07.14	10:00:00	4021.82	4022.26	4016.78	4018.21	2344	0	15
2026.07.14	10:15:00	4018.10	4019.95	4015.61	4017.72	2507	0	15
2026.07.14	10:30:00	4017.69	4020.21	4015.12	4019.06	3013	0	15
2026.07.14	10:45:00	4019.06	4022.93	4018.03	4021.74	2479	0	15
2026.07.14	11:00:00	4021.73	4023.98	4014.90	4022.78	3442	0	15
2026.07.14	11:15:00	4022.73	4028.35	4020.60	4024.91	3115	0	15
2026.07.14	11:30:00	4024.86	4030.32	4024.49	4028.03	2837	0	15
2026.07.14	11:45:00	4028.06	4031.82	4025.78	4031.22	2717	0	15
2026.07.14	12:00:00	4031.12	4035.94	4025.13	4025.96	3618	0	15
2026.07.14	12:15:00	4025.96	4030.91	4023.28	4030.29	3628	0	15
2026.07.14	12:30:00	4030.29	4102.51	4029.49	4092.87	7594	0	15
2026.07.14	12:45:00	4093.17	4095.26	4068.90	4076.21	6490	0	15
2026.07.14	13:00:00	4076.15	4083.48	4070.94	4075.15	6453	0	15
2026.07.14	13:15:00	4075.15	4086.40	4072.18	4081.44	5587	0	15
2026.07.14	13:30:00	4081.44	4088.60	4075.75	4087.52	6842	0	15
2026.07.14	13:45:00	4087.46	4087.47	4074.33	4076.56	6271	0	15
2026.07.14	14:00:00	4076.54	4085.22	4072.64	4082.31	6333	0	15
2026.07.14	14:15:00	4082.30	4085.13	4070.73	4077.00	6756	0	15
2026.07.14	14:30:00	4076.88	4090.44	4073.27	4080.08	6698	0	15
2026.07.14	14:45:00	4080.03	4087.57	4077.61	4085.13	5451	0	15
2026.07.14	15:00:00	4085.17	4100.66	4078.82	4090.20	6680	0	15
2026.07.14	15:15:00	4090.02	4091.07	4082.57	4085.01	4874	0	15
2026.07.14	15:30:00	4084.94	4086.90	4066.93	4074.17	5502	0	15
2026.07.14	15:45:00	4074.17	4076.61	4064.60	4066.16	5610	0	15
2026.07.14	16:00:00	4066.19	4066.89	4057.95	4063.09	5141	0	15
2026.07.14	16:15:00	4062.95	4065.22	4057.85	4059.33	3780	0	15
2026.07.14	16:30:00	4059.34	4062.89	4057.76	4060.86	3849	0	15
2026.07.14	16:45:00	4060.86	4062.21	4057.75	4061.56	3143	0	15
2026.07.14	17:00:00	4061.56	4064.72	4055.57	4056.68	3728	0	15
2026.07.14	17:15:00	4056.68	4064.12	4054.54	4062.89	3695	0	15
2026.07.14	17:30:00	4062.90	4065.13	4059.56	4059.77	2611	0	15
2026.07.14	17:45:00	4059.77	4063.88	4058.19	4062.87	2605	0	15
2026.07.14	18:00:00	4062.65	4062.88	4059.67	4061.66	2680	0	15
2026.07.14	18:15:00	4061.66	4063.16	4056.63	4058.57	2676	0	15
2026.07.14	18:30:00	4058.54	4059.59	4042.97	4046.63	3552	0	15
2026.07.14	18:45:00	4046.63	4054.82	4044.89	4054.29	3452	0	15
2026.07.14	19:00:00	4054.32	4057.45	4052.32	4056.68	2959	0	15
2026.07.14	19:15:00	4056.68	4056.98	4051.35	4051.67	2592	0	15
2026.07.14	19:30:00	4051.67	4052.92	4047.67	4052.59	2972	0	15
2026.07.14	19:45:00	4052.55	4056.91	4051.68	4055.77	3170	0	15
2026.07.14	20:00:00	4055.88	4056.42	4053.63	4053.63	1546	0	15
2026.07.14	20:15:00	4053.63	4054.36	4052.08	4052.90	1055	0	28
2026.07.14	20:30:00	4052.92	4053.42	4049.66	4050.47	1149	0	28
2026.07.14	20:45:00	4050.38	4053.02	4049.17	4052.80	1291	0	28
2026.07.14	22:00:00	4053.00	4053.02	4048.96	4050.67	869	0	28
